Origen,C16_0,C12_0,C18_1,C18_2,Indice_Yodo,Indice_Saponificacion,Indice_Refraccion
Soya,30.351822053370615,19.68000688202764,18.533920487797864,54.34107961690465,45.937071439240555,157.5051668359943,1.4676617825617968
Soya,30.30335099207607,42.09001947365918,32.98403508768458,19.22305011239135,96.84606016474655,283.2414809428791,1.455643203244471
Canola,-3.5003129436758655,35.19086116729861,69.79500430537476,64.7037510034042,74.8219756996045,182.2056035965898,1.4175442720332858
Canola,33.57461182200022,22.474034182399546,69.19952564792182,52.486162553304055,-2.5452881524686575,264.54569399181366,1.4161432237697025
Canola,31.68233598984601,9.102914132522812,75.50596621748683,9.498099457733007,104.36289903761025,247.32602068508112,1.427906167361854
Canola,26.42349305895111,6.865751754232043,35.43049922465816,38.84277231058546,33.52771911018806,256.94378616066643,1.465288303275467
Soya,21.633079848468718,13.23103135655468,78.6732660129327,34.86166848894992,137.818844396371,272.1019407047209,1.4382998408744347
Coco,20.4242545223461,20.07047501976287,41.195295783730685,39.311578341421146,141.21446007523167,232.55613068825215,1.4459917242197435
Coco,11.317612628135173,12.33221835762744,70.78405868521187,17.997155644027472,118.98366110001567,161.85014485105603,1.411707636333427
Soya,2.0082320120910317,6.439379780021422,35.66594151852375,46.63701685019047,126.21118259768616,205.3280476915975,1.482049818734694
Coco,-5.589280086072556,30.593148568891024,28.982991970578773,55.6681777112726,77.36433524414596,159.85460732335125,1.4026554234845539
Palma,25.537459356605087,4.073111353716865,53.18514486240596,66.98208804727896,134.3796393375662,183.53966189071582,1.473770636399674
Coco,48.14860140443248,22.580424981657607,58.20240843619981,61.54815098071078,145.8373475763962,187.65193370685864,1.4858315077303463
Coco,14.346449747465378,3.00560030532006,60.67601125475716,7.854969866208856,155.98580508392936,291.2622552225943,1.4744456366732508
Coco,47.47904122738304,16.763704781550423,50.338597036226524,64.63352389262022,163.17724181652693,167.73071577836993,1.4106510115706692
Coco,20.04526151046821,6.2426915840122295,69.38311605437191,54.04488553106344,27.194720123533415,272.1108395163468,1.4410899655140412
Palma,18.85964801413065,16.176084562665643,53.74301287160027,50.374497676989904,116.06434694593676,201.08369371930115,1.4337035888227332
Soya,20.059363909813985,5.41831664418654,25.2864416898062,5.0599344866350435,-21.85133497070018,269.9028632945824,1.4099837060373095
Soya,17.22478833654329,-3.811146489414053,69.38561492232915,5.98360860977269,148.6686855465032,292.3091734469775,1.492309157726651
Canola,-17.30727302834154,16.823427274870422,18.56187260050921,16.03286370032102,67.87594366250644,284.15799959350505,1.4830181945734502
Soya,-5.5697680864144345,9.515077197247905,45.32788363610543,24.921793900985513,114.64162817858896,195.17490316458503,1.4553784332664028
Canola,2.9560848975895553,14.473650302275477,34.01974381501108,9.537088120888866,76.80093689920416,264.1434142669907,1.4979481454869232
Soya,-24.599732110763284,46.733905239619794,51.46889069553774,24.33992231372542,119.33668201016272,238.17522044484468,1.4823215147343163
Coco,20.499759172082943,48.34203517597432,46.14397294798254,22.17959997637729,133.62482212666714,237.06325675704227,1.4477879802570295
Soya,16.26666999412838,31.03371996348992,39.792050901411095,66.80628283227358,45.451202349254615,158.5663689141506,1.4115956650387673
Canola,13.247353474825237,25.128962309550168,66.98336286735164,20.13908649139045,73.64982899006688,227.55770269767635,1.4417877639835264
Palma,21.986417017231606,33.44523206255676,35.07483705688804,71.08192442215265,84.77985770353152,181.92278606809083,1.4351928128291138
Palma,20.333208920590863,11.638563715230433,51.46274598262995,21.077337926431987,138.54092166881975,294.45632490742014,1.4128282577266675
Coco,24.76051963911602,19.98750488804228,42.5531838750346,11.843562542965417,88.212451506586,214.7584847670005,1.4786671371146936
Coco,8.71378733412444,4.2217392293281755,42.56671281152569,60.93543451423291,91.1108537413079,241.57699868506347,1.4778457008782049
Canola,0.5541228927477384,20.769340599430343,50.66773278625555,42.825502628947596,214.43176456666214,235.06972089054554,1.4196343633884272
Soya,21.427091653481796,15.865248486075728,79.6523930746924,48.96515324625257,-26.44737554423429,220.49127298728664,1.4148166485732947
Soya,13.644273500848694,18.83788848381875,23.596213941247907,32.311708489615846,128.3876777048132,245.70721046517275,1.4243293115238531
Canola,2.210246526062406,28.347307577271426,60.38250544190103,46.494046965583706,103.67762754471906,163.949400704842,1.4018907757619146
Palma,14.518070109850594,31.71791188614668,74.75329386354288,65.96335243297023,137.4162093361888,171.8498738861528,1.4788723569698632
Palma,0.9346543873000854,11.869922684242464,48.83090567715714,15.505494306079436,145.73283215556415,184.0356829915002,1.4591900735381957
Palma,43.792564076348526,16.235526291853272,71.0485364059205,25.071882658977426,162.6115781313651,162.64366759306526,1.4771994421685986
Canola,30.40085987774882,30.477291028255866,56.90443398542507,60.466141269337115,55.76356993806654,275.3753589834537,1.4096464045693673
Soya,-9.371218513117999,13.921108232027647,31.35637095531331,25.534705858382825,158.7804740373168,276.7237254228386,1.423238036804449
Soya,17.977980320150078,25.033975572213905,66.5524588138812,49.76460983051813,123.98481042286295,297.93169644120474,1.4609065063102065
Canola,-3.109240368289207,23.876717808262654,22.781372089347823,30.39668510377659,70.50162829669382,232.0174446744786,1.487316712912235
Canola,50.70070952723208,15.886497905735263,74.1270251361832,10.370284596125765,143.1084459249051,290.8870901264827,1.4227164205234668
Canola,-0.9549901742992546,1.7542190405976967,73.91366784155633,42.394765677264104,26.367143687711618,161.8978191346158,1.428587330627565
Canola,3.5424202304026586,17.383846452550063,52.21480338768096,58.586848220803056,132.6155099182286,217.85273460454408,1.4096394331578224
Palma,16.419306960279805,26.966614601200114,43.416733777558306,79.29756970798714,92.41550173606673,216.32336163145513,1.4215432726477528
Canola,-1.4360034767243661,10.3515742972812,27.48886409749087,27.96231606458313,167.161844156063,246.95147666845904,1.4337793399223162
Palma,34.2350716475789,3.6332728870761333,38.829657431637,37.38642452704468,67.02579687685324,229.81430121759408,1.4001750557953137
Palma,19.70903621056302,17.484946248806814,58.785768751041815,46.11376698994105,79.54671034476961,274.6242005890422,1.4303542835128065
Coco,33.4189655864002,18.50692814398016,26.728307728807213,49.42091841162674,83.07097588051565,164.96838341690741,1.4551094357265109
Canola,31.395396797753083,13.679232852867573,20.66331160472486,13.095078667498756,80.16906573071758,163.84759158774776,1.414945000793512
Canola,-2.4658057162475444,9.743548051845268,28.740268906207877,59.13522678376457,27.08790768566665,152.91572170170426,1.4867433930095133
Canola,2.0917103481209303,9.15110667540052,47.992596263887854,26.58612003694671,99.45467039160252,269.17088631272486,1.448016422579958
Soya,39.44393879598586,5.707528020985752,39.68946704764218,58.26466181973821,61.67135121626824,172.67100767802862,1.4233917835510934
Coco,34.28413439122836,18.984164196096817,42.69639231220366,24.868800499128106,142.10862451612482,162.0851539858251,1.4019837312291243
Palma,1.7411880403847775,1.4409214440270013,41.543115780664266,29.69688329039412,139.59396007089103,254.9080521062345,1.4293321213113215
Palma,17.64102248937293,-2.1158305311757033,63.442045223573224,16.545446238714476,34.118613733067704,156.7304217510694,1.4118417872418423
Coco,-2.6137774039657913,16.58598596361391,34.26019177772709,27.930220813915277,100.65765182789355,189.8026353464204,1.4902897012043215
Canola,21.618261962099204,36.32486728828962,62.64013834056323,62.56951763271567,107.66150138566691,225.62837476100074,1.4206997672861699
Coco,31.205834826487212,42.213336098665636,69.61011970710865,48.03860330000555,60.68024847940789,155.5880546409709,1.457530654283274
Canola,26.445146537939145,-4.728640480783795,16.508783132815296,77.87826763208393,168.40526095672607,237.22639244365843,1.4686204263271438
Palma,-1.2256438127878901,20.398129189913057,51.15158743573834,56.88870260501643,100.20043977667835,227.64910821776533,1.4742678430601368
Canola,10.388601154841426,20.431731800991408,43.49236643125347,41.85216934718717,122.65971021799865,214.00511719939507,1.4463335249091342
Soya,31.694394554955437,24.637445310773096,79.19492291913267,36.42153598232759,79.68106550343398,287.2898973192219,1.4743449563363078
Coco,13.428186254767358,27.53726134263451,11.211896598762738,76.46588165427887,134.20597446634056,213.8684599911023,1.4325854861521743
Palma,51.121897519198484,12.798694362320084,58.3602444662119,15.816689127752102,244.1984625887919,271.3786117302626,1.418245493386583
Coco,14.850534767262953,12.47729959553019,25.48658127951259,44.09077293907557,70.59056124300326,158.9802021107208,1.4050522874899392
Soya,10.750559424752081,15.100371394083975,79.62060697959208,71.68620906457075,118.2612703587983,163.25513190950846,1.4252565241496862
Canola,31.447754690899885,19.80288382285272,31.604593545834433,59.32371146845327,116.1554750694394,203.29268578622106,1.492907513342999
Canola,22.893757877349596,-4.569675522430629,11.646906060049595,53.932047710599086,129.12021323367986,172.15319810648202,1.468984836768444
Palma,14.77311604021444,9.35515341692323,78.74377826874154,47.990815789578,99.577125689999,253.8346338812927,1.4319088736058145
Coco,54.47980911070513,3.3676417781933807,40.94322364038778,18.881206745164775,13.817428309632021,267.7938229789026,1.4491738684366962
Soya,17.521856710389024,14.788242256995034,41.16252653654079,51.04106516496818,48.72313726164914,212.57069772106743,1.4352388216565737
